ID,City,Municipality,Neighborhood,Area,Rooms,Current_Floor,Total_Floors,Advertiser_Type,Photo_Count,Total_Price_EUR,Scrape_Date
5425646907623,Beograd,Voždovac,Lekino brdo,73.06,3.0 Broj soba,II,5 Spratnost,Agencija,5,288587.0,2026-04-05 22:49:34
5425646877219,Beograd,Zvezdara,Mirijevo,58.48,2.5 Broj soba,II,4 Spratnost,Agencija,3,140500.0,2026-04-05 22:49:34
5425646821603,Beograd,Voždovac,Banjica,44.0,2.0 Broj soba,I,3 Spratnost,Agencija,5,140360.0,2026-04-05 22:49:34
5425646821602,Beograd,Voždovac,Banjica,61.41,3.0 Broj soba,I,3 Spratnost,Agencija,3,171948.0,2026-04-05 22:49:34
5425646898731,Beograd,Zvezdara,Mirijevo,33.0,1.0 Broj soba,I,5 Spratnost,Agencija,8,87000.0,2026-04-05 22:49:34
5425646848182,Beograd,Voždovac,Trošarina,48.0,2.0 Broj soba,I,3 Spratnost,Agencija,3,172800.0,2026-04-05 22:49:34
5425646805625,Beograd,Zemun,Altina,59.0,3.0 Broj soba,IV,4 Spratnost,Agencija,16,159000.0,2026-04-05 22:49:34
5425646986292,Beograd,Zvezdara,Učiteljsko naselje,44.0,1.5 Broj soba,VI,6 Spratnost,Agencija,15,160000.0,2026-04-05 22:49:34
5425646984037,Beograd,Stari grad,Dorćol,36.0,1.0 Broj soba,IV,6 Spratnost,Agencija,19,156000.0,2026-04-05 22:49:34
5425646440670,Beograd,Palilula,Tašmajdan,120.0,5.0 Broj soba,IV,5 Spratnost,Agencija,20,595000.0,2026-04-05 22:49:34
5425646911053,Beograd,Palilula,Profesorska kolonija,95.0,4.0 Broj soba,I,2 Spratnost,Vlasnik,14,299000.0,2026-04-05 22:49:34
5425646985121,Beograd,Savski venac,Beograd na vodi,123.74,4.0 Broj soba,XII,17 Spratnost,Agencija,18,609999.0,2026-04-05 22:49:34
5425635609203,Beograd,Stari grad,Obilićev venac,40.0,1.5 Broj soba,II,5 Spratnost,Vlasnik,20,260000.0,2026-04-05 22:49:34
5425646548620,Beograd,Vračar,Crveni krst,88.0,3.0 Broj soba,VI,7 Spratnost,Agencija,14,308000.0,2026-04-05 22:49:34
5425646783745,Beograd,Palilula,Borča,83.0,4.0 Broj soba,V,5 Spratnost,Agencija,9,164221.0,2026-04-05 22:49:34
5425646859499,Beograd,Novi Beograd,Blok 11b,75.0,3.5 Broj soba,IV,5 Spratnost,Agencija,11,297000.0,2026-04-05 22:49:34
